LGA,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Dekina,3.481793246,3.089346331,1.871683828,1.208649801,4.098659724,8.789102772
Ibaji,2.919219372,3.971569991,2.468037001,2.291323535,4.116690025,9.327232931
Idah,3.279381269,3.448591176,1.715756909,1.19799126,5,9.47737253
Igalamela-Odolu,3.439009278,3.409702027,1.73843258,1.417635034,4.149807316,9.006451628
Ijumu,3.832779583,3.040200902,1.303769019,1.077731,4.232140582,9.142651165
Kabba/Bunu,3.348795232,3.152481309,1.814965257,1.616998801,3.866131681,8.831925714
Kogi,3.103907856,3.662856219,2.282619493,1.657343462,3.819052419,8.580303737
Lokoja,3.400070651,3.202233546,2.18370989,1.675937748,3.948465125,9.024473524
Mopa-Muro,3.79993671,3.430713631,2.069059452,1.158059038,3.940675112,8.898670861
Ofu,3.326202097,3.19430123,1.909983198,1.165646738,4.124930945,8.61677978
Ogori/Magongo,3.990113996,2.897370429,1,1.069618459,4.953359699,10.01309215
Okehi,3.580375681,2.98787939,1.170243592,1.512497422,4.188034329,9.280907432
Okene,3.955901469,2.823538247,1.054461694,1.168803602,4.923893739,10.04859881
Olamaboro,3.668881546,3.155199863,1.609542951,1.102196115,4.310744475,9.081822136
Omala,3.164204333,3.87128848,2.118023943,1.539536782,3.507034199,8.210775314
Yagba East,3.940355804,3.212561054,1.713953703,1.19750398,4.145393429,9.283253213
Yagba West,3.798235388,3.502878913,1.649343401,1.323717466,4.099023653,9.220976508
Agaie,3.631947765,3.967293014,3.297526903,2.311117416,2.8028513,8.745916482
Agwara,3.402901656,4.980338445,4.702659086,2.192811728,2.009539548,7.605252933
Bida,4,2.127597071,1.085658117,1,4.989752088,9.989752088
Borgu,3.679598501,4.645615184,4.215616849,2.625923973,2.516143593,8.821666067
Bosso,3.516950861,3.603567834,2.127604931,1.331683002,3.788848247,8.63748211
Chanchaga,3.951605232,1.538371066,1.004864054,1,4.999019509,9.950624741
Edati,3.720469289,4.065765522,2.763416755,2.123602109,4.24230383,10.08637523
Gbako,3.624541989,4.382069584,3.088379232,2.137913948,3.002989747,8.765445683
Gurara,3.564507307,2.998339602,1.810288917,1.356574743,4.160458783,9.081540833
Katcha,3.558118669,4.314977034,3.445801384,2.351030413,2.881919705,8.791068787
Kontagora,3.533368047,3.739842294,2.694607627,1.220527071,3.705935042,8.459830159
Lapai,3.282268937,3.993926418,3.538587549,2.33560738,2.738229188,8.356105505
Lavun,3.214918159,4.212346649,3.193310367,2.287339091,2.624715832,8.126973083
Magama,3.585081267,4.716915135,3.758644198,1.544499358,3.26529684,8.394877465
Mariga,3.016796626,4.894402437,4.493620069,2.456787607,2.506861202,7.980445435
Mashegu,3.348346441,4.771969719,4.459099887,2.79111087,2.444273081,8.583730392
Mokwa,3.582673701,4.34631726,3.340078455,2.212540062,3.591860635,9.387074398
Muya,3.098108736,4.029282432,3.159178629,2.755604411,3.050878034,8.904591181
Paikoro,3.286086827,3.886970793,2.63502266,1.778916694,3.220520419,8.28552394
Rafi,3.192996091,4.325555662,2.927765661,2.085496375,3.423133189,8.701625655
Rijau,3.354311979,4.868976982,4.455554207,2.06887516,2.978050474,8.401237613
Shiroro,3.362036711,4.304977814,3.245743547,2.605802604,3.467877503,9.435716817
Suleja,3.99483254,1.308947377,1.005891394,1,4.988169596,9.983002136
Tafa,3.793384992,2.694320069,1.50522551,1.05297625,4.71261278,9.558974023
Wushishi,3.236251832,4.79647965,3.515187829,2.406204836,2.876375835,8.518832504
Aiyedade,3.487818224,3.249740297,1.035929644,2.797233596,4.711799599,10.99685142
Aiyedire,3.897541946,3.128334548,1.02783582,3.351385458,4.940182754,12.18911016
Atakunmosa East,3.725673996,3.29445069,1.009787685,2.031666272,4.51968189,10.27702216
Atakunmosa West,3.718389243,2.89657128,1.065393516,2.654655947,4.724374767,11.09741996
Boluwaduro,3.969812921,2.625476992,1.000390658,3.006413413,4.958642685,11.93486902
Boripe,3.790500922,2.250985222,1.003784317,2.548427719,4.990348065,11.32927671
Ede North,3.984523635,1.817046623,1,2.293326451,4.987715743,11.26556583
Ede South,3.878687861,2.687534631,1.000833937,2.890079917,4.937222051,11.70598983
Egbedore,3.812861784,1.7583564,1.00121322,2.197667957,4.874611485,10.88514123
Ejigbo,3.463772009,2.807137678,1.005535893,2.133137884,4.75350906,10.35041895
Ife Central,3.788315969,1.826966983,1,2.650822786,4.912666495,11.35180525
Ife East,3.862711106,2.708067758,1.000924021,1.785377952,4.995678813,10.64376787
Ife North,3.719786901,2.733803162,1.004927243,2.443777129,4.629926399,10.79349043
Ife South,3.834134411,3.405729349,1.002605724,2.776054276,4.86135124,11.47153993
Ifedayo,3.84057546,2.870729457,1.222916077,1.476471693,4.753433646,10.0704808
Ifelodun,3.840632065,2.102528886,1.007044192,2.30462545,4.944115251,11.08937277
Ila,3.757029255,2.65422608,1.299634991,2.821237988,4.683584746,11.26185199
Ilesha East,3.999788922,1.769809829,1,1.697270931,4.999806772,10.69686663
Ilesha West,3.98637165,1.22954995,1.005480103,3.013443766,4.982621416,11.98243683
Irepodun,3.828767375,1.906369326,1.007924345,1.740612058,4.989688808,10.55906824
